bloque_tiempo,hora_post_evento,zona_origen,evacuados_acumulados_media,ic95_inferior,ic95_superior,nuevos_hacia_refugio_oficial,nuevos_hacia_otra_zona
1,6,Z1,10762.5,10619.979166666666,10923.354166666668,6347.5,4415.0
1,6,Z2,13883.333333333334,13719.145833333332,14064.166666666666,5898.333333333333,7985.0
1,6,Z3,10156.666666666666,9979.145833333332,10338.354166666668,6908.333333333333,3248.3333333333335
1,6,Z4,14565.0,14402.5,14739.1875,5114.166666666667,9450.833333333334
1,6,Z5,8731.666666666666,8579.145833333332,8862.5,6805.0,1926.6666666666667
2,12,Z1,23818.333333333332,23670.791666666664,23977.5,7565.833333333333,5490.0
2,12,Z2,34710.0,34506.625,34906.6875,8838.333333333334,11988.333333333334
2,12,Z3,20926.666666666668,20720.833333333332,21139.1875,7425.0,3345.0
2,12,Z4,37826.666666666664,37649.9375,38001.6875,8203.333333333334,15058.333333333334
2,12,Z5,16967.5,16835.0,17095.041666666668,6453.333333333333,1782.5
3,18,Z1,28446.666666666668,28304.166666666668,28594.166666666668,2678.3333333333335,1950.0
3,18,Z2,38860.833333333336,38665.8125,39049.166666666664,1765.0,2385.8333333333335
3,18,Z3,25576.666666666668,25363.291666666664,25785.0,3269.1666666666665,1380.8333333333333
3,18,Z4,41397.5,41245.79166666667,41558.375,1281.6666666666667,2289.1666666666665
3,18,Z5,21420.0,21266.645833333336,21576.6875,3503.3333333333335,949.1666666666666
4,24,Z1,31480.0,31354.166666666668,31619.208333333336,1740.8333333333333,1292.5
4,24,Z2,40878.333333333336,40692.354166666664,41063.35416666667,870.8333333333334,1146.6666666666667
4,24,Z3,28887.5,28661.5625,29105.854166666664,2304.1666666666665,1006.6666666666666
4,24,Z4,43110.0,42977.5,43253.333333333336,604.1666666666666,1108.3333333333333
4,24,Z5,24813.333333333332,24647.479166666668,24970.0,2624.1666666666665,769.1666666666666
5,30,Z1,33939.166666666664,33802.479166666664,34072.5625,1403.3333333333333,1055.8333333333333
5,30,Z2,42484.166666666664,42305.0,42657.5,659.1666666666666,946.6666666666666
5,30,Z3,31802.5,31602.479166666668,32000.875,2004.1666666666667,910.8333333333334
5,30,Z4,44458.333333333336,44362.479166666664,44558.35416666667,457.5,890.8333333333334
5,30,Z5,27810.833333333332,27644.125,27994.229166666668,2330.8333333333335,666.6666666666666
6,36,Z1,36248.333333333336,36118.333333333336,36385.875,1367.5,941.6666666666666
6,36,Z2,43964.166666666664,43806.666666666664,44115.85416666667,625.0,855.0
6,36,Z3,34456.666666666664,34270.8125,34640.895833333336,1796.6666666666667,857.5
6,36,Z4,45698.333333333336,45619.166666666664,45785.020833333336,415.8333333333333,824.1666666666666
6,36,Z5,30700.0,30526.645833333336,30896.6875,2257.5,631.6666666666666
7,42,Z1,38378.333333333336,38253.333333333336,38511.666666666664,1239.1666666666667,890.8333333333334
7,42,Z2,45262.5,45130.0,45394.1875,535.8333333333334,762.5
7,42,Z3,36910.0,36735.0,37094.1875,1699.1666666666667,754.1666666666666
7,42,Z4,46735.833333333336,46654.166666666664,46826.666666666664,365.0,672.5
7,42,Z5,33401.666666666664,33234.14583333333,33594.20833333333,2108.3333333333335,593.3333333333334
8,48,Z1,40337.5,40204.14583333333,40478.333333333336,1131.6666666666667,827.5
8,48,Z2,46391.666666666664,46287.5,46500.020833333336,472.5,656.6666666666666
8,48,Z3,39184.166666666664,39031.666666666664,39330.0,1589.1666666666667,685.0
8,48,Z4,47572.5,47506.64583333333,47644.166666666664,290.8333333333333,545.8333333333334
8,48,Z5,35905.833333333336,35728.3125,36108.35416666667,1926.6666666666667,577.5
9,54,Z1,42126.666666666664,41981.666666666664,42262.5,1049.1666666666667,740.0
9,54,Z2,47296.666666666664,47214.14583333333,47382.520833333336,396.6666666666667,508.3333333333333
9,54,Z3,41235.833333333336,41099.958333333336,41365.041666666664,1450.0,601.6666666666666
9,54,Z4,48236.666666666664,48174.979166666664,48298.333333333336,228.33333333333334,435.8333333333333
9,54,Z5,38174.166666666664,38024.979166666664,38358.35416666667,1768.3333333333333,500.0
10,60,Z1,43629.166666666664,43522.5,43735.0,848.3333333333334,654.1666666666666
10,60,Z2,47961.666666666664,47885.0,48035.85416666667,295.0,370.0
10,60,Z3,43026.666666666664,42910.0,43138.333333333336,1234.1666666666667,556.6666666666666
10,60,Z4,48720.833333333336,48678.333333333336,48765.0,154.16666666666666,330.0
10,60,Z5,40180.833333333336,40040.833333333336,40344.166666666664,1573.3333333333333,433.3333333333333
11,66,Z1,44960.0,44849.979166666664,45072.520833333336,750.0,580.8333333333334
11,66,Z2,48521.666666666664,48446.666666666664,48591.666666666664,220.0,340.0
11,66,Z3,44530.0,44412.5,44642.520833333336,1027.5,475.8333333333333
11,66,Z4,49075.0,49046.64583333333,49102.5,115.83333333333333,238.33333333333334
11,66,Z5,42051.666666666664,41924.166666666664,42201.6875,1432.5,438.3333333333333
12,72,Z1,46049.166666666664,45960.0,46135.85416666667,635.0,454.1666666666667
12,72,Z2,48925.0,48856.666666666664,48986.666666666664,169.16666666666666,234.16666666666666
12,72,Z3,45781.666666666664,45654.979166666664,45900.020833333336,871.6666666666666,380.0
12,72,Z4,49363.333333333336,49331.666666666664,49396.666666666664,100.0,188.33333333333334
12,72,Z5,43612.5,43494.979166666664,43753.333333333336,1215.0,345.8333333333333
