zona,bloque_tiempo,hora_post_evento,personas_sin_poder_evacuar_media,ic95_inferior,ic95_superior
Z1,1,6,6485.833333333333,6356.645833333334,6605.0
Z1,2,12,13514.166666666666,13360.833333333334,13666.6875
Z1,3,18,14385.833333333334,14231.666666666666,14535.020833333334
Z1,4,24,13766.666666666666,13620.0,13915.041666666666
Z1,5,30,12703.333333333334,12550.8125,12871.6875
Z1,6,36,11332.5,11190.0,11479.1875
Z1,7,42,9889.166666666666,9756.645833333332,10025.020833333334
Z1,8,48,8407.5,8260.0,8555.0
Z1,9,54,6982.5,6840.0,7125.854166666666
Z1,10,60,5725.0,5626.666666666667,5829.166666666667
Z1,11,66,4584.166666666667,4480.0,4697.520833333333
Z1,12,72,3627.5,3547.5,3714.1666666666665
Z5,1,6,8716.666666666666,8557.479166666666,8889.1875
Z5,2,12,15430.0,15268.333333333334,15600.0
Z5,3,18,17213.333333333332,17042.5,17376.6875
Z5,4,24,17231.666666666668,17075.791666666664,17382.520833333332
Z5,5,30,16435.0,16250.8125,16615.833333333332
Z5,6,36,15109.166666666666,14923.333333333334,15282.520833333334
Z5,7,42,13591.666666666666,13401.666666666666,13766.666666666666
Z5,8,48,11877.5,11678.291666666668,12054.166666666666
Z5,9,54,10180.0,9991.645833333332,10341.6875
Z5,10,60,8601.666666666666,8426.625,8758.354166666668
Z5,11,66,7076.666666666667,6915.833333333333,7217.5
Z5,12,72,5749.166666666667,5600.791666666666,5875.020833333333
