bloque,hora_inicio,Z1,Z2,Z3,Z4,Z5
0,0,1142.6,1061.7,1243.5,920.6,1224.9
1,6,2504.4,2652.6,2580.0,2397.2,2386.5
2,12,2986.5,2970.3,3168.4,2627.8,3017.1
3,18,3299.8,3127.0,3583.2,2736.6,3489.4
4,24,3552.4,3245.7,3944.0,2819.0,3909.0
5,30,3798.6,3358.2,4267.4,2893.8,4315.3
6,36,4021.6,3454.6,4573.2,2959.5,4694.8
7,42,4225.3,3539.7,4859.3,3011.8,5041.6
8,48,4414.2,3611.1,5120.3,3052.9,5359.9
9,54,4566.9,3664.2,5342.4,3080.7,5643.1
10,60,4701.9,3703.8,5527.4,3101.5,5901.0
11,66,4816.2,3734.3,5684.3,3119.5,6119.7
