bloque,hora_inicio,Z1,Z2,Z3,Z4,Z5
0,0,400.0,2200.0,2400.0,5114.2,1500.0
1,6,400.0,2200.0,2400.0,5300.0,1500.0
2,12,400.0,2200.0,2400.0,5300.0,1500.0
3,18,400.0,2200.0,2400.0,5300.0,1500.0
4,24,400.0,2200.0,2400.0,5300.0,1500.0
5,30,400.0,2200.0,2400.0,5300.0,1500.0
6,36,400.0,2200.0,2400.0,5300.0,1500.0
7,42,400.0,2200.0,2400.0,5300.0,1500.0
8,48,400.0,2200.0,2400.0,5300.0,1500.0
9,54,400.0,2200.0,2400.0,5300.0,1500.0
10,60,400.0,2200.0,2400.0,5300.0,1500.0
11,66,400.0,2200.0,2400.0,5300.0,1500.0
